Date,Day_of_the_week,App,Minutes,Category
8/30/23,Wednesday,TIKTOK,138,Social Media
8/30/23,Wednesday,INSTAGRAM,64,Social Media
8/30/23,Wednesday,CAMERA,2,Other
8/30/23,Wednesday,CALENDER,1,Entertainment
8/30/23,Wednesday,CHASE,5,Other
8/30,Wednesday,SETTINGS,6,Other
8/30/23,Wednesday,FACEBOOK,9,Social Media
8/30/23,Wednesday,GMAIL,2,Other
8/30/23,Wednesday,MESSAGES,2,Other
8/31/23,Thursday,GOOGLE MAPS,26,Travel
8/31/23,Thursday,MESSAGES,18,Other
8/31/23,Thursday,INSTAGRAM,18,Social Media
8/31/23,Thursday,GMAIL,11,Education
8/31/23,Thursday,PHOTOS,7,Entertainment
9/1/23,Friday,INSTAGRAM,20,Social Media
9/1/23,Friday,GMAIL,5,Education
9/1/23,Friday,PHOTOS,10,Entertainment
9/2/23,Saturday,TIKTOK,90,Social Media
9/2/23,Saturday,INSTAGRAM,180,Social Media
9/2/23,Saturday,FACEBOOK,20,Social Media
9/2/23,Saturday,CAMERA,15,Other
9/2/23,Saturday,PHOTOS,20,Other
9/3/23,Sunday,MESSAGES,15,Other
9/3/23,Sunday,PHONE,230,Other
9/3/23,Sunday,TIKTOK,50,Social Media
9/3/23,Sunday,INSTAGRAM,60,Social Media
9/4/23,Monday,CALENDER,2,Other
9/4/23,Monday,PHONE,25,Other
9/4/23,Monday,MESSAGES,15,Other
9/5/23,Tuesday,TIKTOK,60,Social Media
9/5,Monday,INSTAGRAM,45,Social Media
9/5/23,Monday,MESSAGES,25,Other
9/5/23,Monday,PHOTOS,10,Other
